Date,Price
08/15/2019,171
08/16/2019,170
08/17/2019,166.91
08/18/2019,167.41
08/21/2019,167.78
08/22/2019,169.64
08/23/2019,168.71
08/24/2019,167.74
08/25/2019,166.32
08/28/2019,167.24
